EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 26-03-2018
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 FG   : daily Wind speed in 0.1 m/s
23-27 Q_FG : quality code for FG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, BORDEAUX-MERIGNAC (STAID: 34).
Blended and updated with sources: 175647 907510 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   FG, Q_FG
175647,19201101,-9999,    9
175647,19201102,-9999,    9
175647,19201103,-9999,    9
175647,19201104,-9999,    9
175647,19201105,-9999,    9
175647,19201106,-9999,    9
175647,19201107,-9999,    9
175647,19201108,-9999,    9
175647,19201109,   10,    0
175647,19201110,   10,    0
175647,19201111,    0,    0
175647,19201112,    0,    0
175647,19201113,   10,    0
175647,19201114,   30,    0
175647,19201115,   20,    0
175647,19201116,   10,    0
175647,19201117,   10,    0
175647,19201118,    0,    0
175647,19201119,    0,    0
175647,19201120,   10,    0
175647,19201121,   10,    0
175647,19201122,   20,    0
175647,19201123,   30,    0
175647,19201124,    0,    0
175647,19201125,   30,    0
175647,19201126,   20,    0
175647,19201127,   60,    0
175647,19201128,   20,    0
175647,19201129,    0,    0
175647,19201130,   20,    0
175647,19201201,    0,    0
175647,19201202,   20,    0
175647,19201203,   40,    0
175647,19201204,    0,    0
175647,19201205,   30,    0
175647,19201206,   10,    0
175647,19201207,    0,    0
175647,19201208,   20,    0
175647,19201209,   10,    0
175647,19201210,    0,    0
175647,19201211,   20,    0
175647,19201212,    0,    0
175647,19201213,   20,    0
175647,19201214,   10,    0
175647,19201215,   30,    0
175647,19201216,   10,    0
175647,19201217,    0,    0
175647,19201218,    0,    0
175647,19201219,   20,    0
175647,19201220,    0,    0
175647,19201221,    0,    0
175647,19201222,   20,    0
175647,19201223,   30,    0
175647,19201224,   10,    0
175647,19201225,   40,    0
175647,19201226,   50,    0
175647,19201227,   30,    0
175647,19201228,   20,    0
175647,19201229,   10,    0
175647,19201230,    0,    0
175647,19201231,    0,    0
175647,19210101,   20,    0
175647,19210102,   30,    0
175647,19210103,    0,    0
175647,19210104,   10,    0
175647,19210105,    0,    0
175647,19210106,   10,    0
175647,19210107,   10,    0
175647,19210108,    0,    0
175647,19210109,    0,    0
175647,19210110,   30,    0
175647,19210111,   40,    0
175647,19210112,   30,    0
175647,19210113,   30,    0
175647,19210114,   40,    0
175647,19210115,    0,    0
175647,19210116,   20,    0
175647,19210117,   40,    0
175647,19210118,   40,    0
175647,19210119,   20,    0
175647,19210120,    0,    0
175647,19210121,   20,    0
175647,19210122,    0,    0
175647,19210123,    0,    0
175647,19210124,    0,    0
175647,19210125,    0,    0
175647,19210126,   20,    0
175647,19210127,   10,    0
175647,19210128,   10,    0
175647,19210129,   10,    0
175647,19210130,   60,    0
175647,19210131,   70,    0
175647,19210201,   10,    0
175647,19210202,   50,    0
175647,19210203,    0,    0
175647,19210204,   20,    0
175647,19210205,   10,    0
175647,19210206,   30,    0
175647,19210207,   10,    0
175647,19210208,   10,    0
175647,19210209,   30,    0
175647,19210210,   30,    0
175647,19210211,    0,    0
175647,19210212,   20,    0
175647,19210213,   10,    0
175647,19210214,   20,    0
175647,19210215,   10,    0
175647,19210216,   10,    0
175647,19210217,   10,    0
175647,19210218,    0,    0
175647,19210219,    0,    0
175647,19210220,   10,    0
175647,19210221,   30,    0
175647,19210222,   40,    0
175647,19210223,   30,    0
175647,19210224,   30,    0
175647,19210225,   10,    0
175647,19210226,   10,    0
175647,19210227,   30,    0
175647,19210228,   10,    0
175647,19210301,   20,    0
175647,19210302,   20,    0
175647,19210303,   10,    0
175647,19210304,    0,    0
175647,19210305,   30,    0
175647,19210306,   10,    0
175647,19210307,   40,    0
175647,19210308,   10,    0
175647,19210309,   10,    0
175647,19210310,   10,    0
175647,19210311,   30,    0
175647,19210312,   10,    0
175647,19210313,    0,    0
175647,19210314,   10,    0
175647,19210315,   20,    0
175647,19210316,   10,    0
175647,19210317,   10,    0
175647,19210318,    0,    0
175647,19210319,   20,    0
175647,19210320,   30,    0
175647,19210321,   30,    0
175647,19210322,   10,    0
175647,19210323,   20,    0
175647,19210324,   10,    0
175647,19210325,   40,    0
175647,19210326,   30,    0
175647,19210327,   30,    0
175647,19210328,   20,    0
175647,19210329,   40,    0
175647,19210330,   10,    0
175647,19210331,   10,    0
175647,19210401,   10,    0
175647,19210402,   10,    0
175647,19210403,   40,    0
175647,19210404,   20,    0
175647,19210405,   20,    0
175647,19210406,   20,    0
175647,19210407,   50,    0
175647,19210408,   30,    0
175647,19210409,   30,    0
175647,19210410,   40,    0
175647,19210411,   20,    0
175647,19210412,   20,    0
175647,19210413,   20,    0
175647,19210414,   20,    0
175647,19210415,   40,    0
175647,19210416,   30,    0
175647,19210417,   60,    0
175647,19210418,   20,    0
175647,19210419,   30,    0
175647,19210420,   20,    0
175647,19210421,   10,    0
175647,19210422,   30,    0
175647,19210423,   20,    0
175647,19210424,   20,    0
175647,19210425,   20,    0
175647,19210426,   10,    0
175647,19210427,   20,    0
175647,19210428,   20,    0
175647,19210429,   30,    0
175647,19210430,   10,    0
175647,19210501,   40,    0
175647,19210502,   30,    0
175647,19210503,   30,    0
175647,19210504,   50,    0
175647,19210505,   10,    0
175647,19210506,   20,    0
175647,19210507,   20,    0
175647,19210508,   20,    0
175647,19210509,   10,    0
175647,19210510,   30,    0
175647,19210511,   30,    0
175647,19210512,   30,    0
175647,19210513,   10,    0
175647,19210514,   30,    0
175647,19210515,   30,    0
175647,19210516,   20,    0
175647,19210517,    0,    0
175647,19210518,    0,    0
175647,19210519,   10,    0
175647,19210520,    0,    0
175647,19210521,   30,    0
175647,19210522,   10,    0
175647,19210523,    0,    0
175647,19210524,   10,    0
175647,19210525,   10,    0
175647,19210526,   10,    0
175647,19210527,   20,    0
175647,19210528,   20,    0
175647,19210529,   10,    0
175647,19210530,   40,    0
175647,19210531,   10,    0
175647,19210601,   20,    0
175647,19210602,    0,    0
175647,19210603,   10,    0
175647,19210604,   10,    0
175647,19210605,    0,    0
175647,19210606,    0,    0
175647,19210607,   10,    0
175647,19210608,   30,    0
175647,19210609,   20,    0
175647,19210610,   10,    0
175647,19210611,   10,    0
175647,19210612,    0,    0
175647,19210613,   30,    0
175647,19210614,   30,    0
175647,19210615,   40,    0
175647,19210616,   40,    0
175647,19210617,   10,    0
175647,19210618,   20,    0
175647,19210619,   30,    0
175647,19210620,   20,    0
175647,19210621,   20,    0
175647,19210622,   20,    0
175647,19210623,   10,    0
175647,19210624,   10,    0
175647,19210625,   20,    0
175647,19210626,   20,    0
175647,19210627,    0,    0
175647,19210628,    0,    0
175647,19210629,   10,    0
175647,19210630,   10,    0
175647,19210701,    0,    0
175647,19210702,   20,    0
175647,19210703,   30,    0
175647,19210704,   30,    0
175647,19210705,   20,    0
175647,19210706,   10,    0
175647,19210707,   30,    0
175647,19210708,   30,    0
175647,19210709,   10,    0
175647,19210710,    0,    0
175647,19210711,   10,    0
175647,19210712,   10,    0
175647,19210713,   10,    0
175647,19210714,   10,    0
175647,19210715,   20,    0
175647,19210716,   10,    0
175647,19210717,   20,    0
175647,19210718,   20,    0
175647,19210719,   10,    0
175647,19210720,   20,    0
175647,19210721,   20,    0
175647,19210722,   20,    0
175647,19210723,   20,    0
175647,19210724,   20,    0
175647,19210725,   30,    0
175647,19210726,   30,    0
175647,19210727,   20,    0
175647,19210728,   20,    0
175647,19210729,   10,    0
175647,19210730,   10,    0
175647,19210731,   10,    0
175647,19210801,   10,    0
175647,19210802,   20,    0
175647,19210803,   20,    0
175647,19210804,   30,    0
175647,19210805,   10,    0
175647,19210806,   10,    0
175647,19210807,   30,    0
175647,19210808,   20,    0
175647,19210809,   10,    0
175647,19210810,   30,    0
175647,19210811,   30,    0
175647,19210812,   30,    0
175647,19210813,   10,    0
175647,19210814,   20,    0
175647,19210815,   20,    0
175647,19210816,   10,    0
175647,19210817,   40,    0
175647,19210818,   10,    0
175647,19210819,    0,    0
175647,19210820,   20,    0
175647,19210821,   20,    0
175647,19210822,   30,    0
175647,19210823,   20,    0
175647,19210824,   20,    0
175647,19210825,   10,    0
175647,19210826,   10,    0
175647,19210827,    0,    0
175647,19210828,   10,    0
175647,19210829,   20,    0
175647,19210830,   10,    0
175647,19210831,   10,    0
175647,19210901,   10,    0
175647,19210902,    0,    0
175647,19210903,    0,    0
175647,19210904,   10,    0
175647,19210905,    0,    0
175647,19210906,    0,    0
175647,19210907,   10,    0
175647,19210908,   20,    0
175647,19210909,   10,    0
175647,19210910,    0,    0
175647,19210911,   10,    0
175647,19210912,    0,    0
175647,19210913,   10,    0
175647,19210914,   20,    0
175647,19210915,   10,    0
175647,19210916,   20,    0
175647,19210917,   10,    0
175647,19210918,   20,    0
175647,19210919,    0,    0
175647,19210920,   10,    0
175647,19210921,   10,    0
175647,19210922,   10,    0
175647,19210923,    0,    0
175647,19210924,    0,    0
175647,19210925,    0,    0
175647,19210926,    0,    0
175647,19210927,   10,    0
175647,19210928,   10,    0
175647,19210929,    0,    0
175647,19210930,   10,    0
175647,19211001,    0,    0
175647,19211002,    0,    0
175647,19211003,    0,    0
175647,19211004,    0,    0
175647,19211005,   10,    0
175647,19211006,   10,    0
175647,19211007,    0,    0
175647,19211008,    0,    0
175647,19211009,    0,    0
175647,19211010,    0,    0
175647,19211011,    0,    0
175647,19211012,    0,    0
175647,19211013,   30,    0
175647,19211014,   10,    0
175647,19211015,   10,    0
175647,19211016,    0,    0
175647,19211017,    0,    0
175647,19211018,   20,    0
175647,19211019,    0,    0
175647,19211020,   10,    0
175647,19211021,   10,    0
175647,19211022,   20,    0
175647,19211023,   10,    0
175647,19211024,   20,    0
175647,19211025,   30,    0
175647,19211026,   10,    0
175647,19211027,   20,    0
175647,19211028,   10,    0
