EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 26-03-2018
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 PP   : daily Sea level pressure in 0.1 hPa
23-27 Q_PP : quality code for PP (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, BORDEAUX-MERIGNAC (STAID: 34).
Blended and updated with sources: 100110 907510 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   PP, Q_PP
100110,19201101,-9999,    9
100110,19201102,-9999,    9
100110,19201103,-9999,    9
100110,19201104,-9999,    9
100110,19201105,-9999,    9
100110,19201106,-9999,    9
100110,19201107,-9999,    9
100110,19201108,-9999,    9
100110,19201109, 1029,    1
100110,19201110, 1027,    1
100110,19201111, 1024,    1
100110,19201112, 1026,    1
100110,19201113, 1030,    1
100110,19201114, 1030,    1
100110,19201115, 1029,    1
100110,19201116, 1029,    1
100110,19201117, 1030,    1
100110,19201118, 1028,    1
100110,19201119, 1028,    1
100110,19201120, 1028,    1
100110,19201121, 1025,    1
100110,19201122, 1022,    1
100110,19201123, 1015,    1
100110,19201124, 1016,    1
100110,19201125, 1014,    1
100110,19201126, 1013,    1
100110,19201127, 1014,    1
100110,19201128, 1026,    1
100110,19201129, 1025,    1
100110,19201130, 1021,    1
100110,19201201, 1031,    1
100110,19201202, 1026,    1
100110,19201203, 1032,    1
100110,19201204, 1026,    1
100110,19201205, 1023,    1
100110,19201206, 1023,    1
100110,19201207, 1024,    1
100110,19201208, 1022,    1
100110,19201209, 1023,    1
100110,19201210, 1024,    1
100110,19201211, 1020,    1
100110,19201212, 1021,    1
100110,19201213, 1016,    1
100110,19201214, 1014,    1
100110,19201215, 1023,    1
100110,19201216, 1030,    1
100110,19201217, 1024,    1
100110,19201218, 1022,    1
100110,19201219, 1014,    1
100110,19201220, 1020,    1
100110,19201221, 1011,    1
100110,19201222, 1018,    1
100110,19201223, 1021,    1
100110,19201224, 1025,    1
100110,19201225, 1023,    1
100110,19201226, 1017,    1
100110,19201227, 1016,    1
100110,19201228, 1026,    1
100110,19201229, 1023,    1
100110,19201230, 1022,    1
100110,19201231, 1026,    1
100110,19210101,-9999,    9
100110,19210102,-9999,    9
100110,19210103,-9999,    9
100110,19210104,-9999,    9
100110,19210105,-9999,    9
100110,19210106,-9999,    9
100110,19210107,-9999,    9
100110,19210108,-9999,    9
100110,19210109,-9999,    9
100110,19210110,-9999,    9
100110,19210111,-9999,    9
100110,19210112,-9999,    9
100110,19210113,-9999,    9
100110,19210114,-9999,    9
100110,19210115,-9999,    9
100110,19210116,-9999,    9
100110,19210117,-9999,    9
100110,19210118,-9999,    9
100110,19210119,-9999,    9
100110,19210120,-9999,    9
100110,19210121,-9999,    9
100110,19210122,-9999,    9
100110,19210123,-9999,    9
100110,19210124,-9999,    9
100110,19210125,-9999,    9
100110,19210126,-9999,    9
100110,19210127,-9999,    9
100110,19210128,-9999,    9
100110,19210129,-9999,    9
100110,19210130,-9999,    9
100110,19210131,-9999,    9
100110,19210201,-9999,    9
100110,19210202,-9999,    9
100110,19210203,-9999,    9
100110,19210204,-9999,    9
100110,19210205,-9999,    9
100110,19210206,-9999,    9
100110,19210207,-9999,    9
100110,19210208,-9999,    9
100110,19210209,-9999,    9
100110,19210210,-9999,    9
100110,19210211,-9999,    9
100110,19210212,-9999,    9
100110,19210213,-9999,    9
100110,19210214,-9999,    9
100110,19210215,-9999,    9
100110,19210216,-9999,    9
100110,19210217,-9999,    9
100110,19210218,-9999,    9
100110,19210219,-9999,    9
100110,19210220,-9999,    9
100110,19210221,-9999,    9
100110,19210222,-9999,    9
100110,19210223,-9999,    9
100110,19210224,-9999,    9
100110,19210225,-9999,    9
100110,19210226,-9999,    9
100110,19210227,-9999,    9
100110,19210228,-9999,    9
100110,19210301,-9999,    9
100110,19210302,-9999,    9
100110,19210303,-9999,    9
100110,19210304,-9999,    9
100110,19210305,-9999,    9
100110,19210306,-9999,    9
100110,19210307,-9999,    9
100110,19210308,-9999,    9
100110,19210309,-9999,    9
100110,19210310,-9999,    9
100110,19210311,-9999,    9
100110,19210312,-9999,    9
100110,19210313,-9999,    9
100110,19210314,-9999,    9
100110,19210315,-9999,    9
100110,19210316,-9999,    9
100110,19210317,-9999,    9
100110,19210318,-9999,    9
100110,19210319,-9999,    9
100110,19210320,-9999,    9
100110,19210321,-9999,    9
100110,19210322,-9999,    9
100110,19210323,-9999,    9
100110,19210324,-9999,    9
100110,19210325,-9999,    9
100110,19210326,-9999,    9
100110,19210327,-9999,    9
100110,19210328,-9999,    9
100110,19210329,-9999,    9
100110,19210330,-9999,    9
100110,19210331,-9999,    9
100110,19210401,-9999,    9
100110,19210402,-9999,    9
100110,19210403,-9999,    9
100110,19210404,-9999,    9
100110,19210405,-9999,    9
100110,19210406,-9999,    9
100110,19210407,-9999,    9
100110,19210408,-9999,    9
100110,19210409,-9999,    9
100110,19210410,-9999,    9
100110,19210411,-9999,    9
100110,19210412,-9999,    9
100110,19210413,-9999,    9
100110,19210414,-9999,    9
100110,19210415,-9999,    9
100110,19210416,-9999,    9
100110,19210417,-9999,    9
100110,19210418,-9999,    9
100110,19210419,-9999,    9
100110,19210420,-9999,    9
100110,19210421,-9999,    9
100110,19210422,-9999,    9
100110,19210423,-9999,    9
100110,19210424,-9999,    9
100110,19210425,-9999,    9
100110,19210426,-9999,    9
100110,19210427,-9999,    9
100110,19210428,-9999,    9
100110,19210429,-9999,    9
100110,19210430,-9999,    9
100110,19210501,-9999,    9
100110,19210502,-9999,    9
100110,19210503,-9999,    9
100110,19210504,-9999,    9
100110,19210505,-9999,    9
100110,19210506,-9999,    9
100110,19210507,-9999,    9
100110,19210508,-9999,    9
100110,19210509,-9999,    9
100110,19210510,-9999,    9
100110,19210511,-9999,    9
100110,19210512,-9999,    9
100110,19210513,-9999,    9
100110,19210514,-9999,    9
100110,19210515,-9999,    9
100110,19210516,-9999,    9
100110,19210517,-9999,    9
100110,19210518,-9999,    9
100110,19210519,-9999,    9
100110,19210520,-9999,    9
100110,19210521,-9999,    9
100110,19210522,-9999,    9
100110,19210523,-9999,    9
100110,19210524,-9999,    9
100110,19210525,-9999,    9
100110,19210526,-9999,    9
100110,19210527,-9999,    9
100110,19210528,-9999,    9
100110,19210529,-9999,    9
100110,19210530,-9999,    9
100110,19210531,-9999,    9
100110,19210601,-9999,    9
100110,19210602,-9999,    9
100110,19210603,-9999,    9
100110,19210604,-9999,    9
100110,19210605,-9999,    9
100110,19210606,-9999,    9
100110,19210607,-9999,    9
100110,19210608,-9999,    9
100110,19210609,-9999,    9
100110,19210610,-9999,    9
100110,19210611,-9999,    9
100110,19210612,-9999,    9
100110,19210613,-9999,    9
100110,19210614,-9999,    9
100110,19210615,-9999,    9
100110,19210616,-9999,    9
100110,19210617,-9999,    9
100110,19210618,-9999,    9
100110,19210619,-9999,    9
100110,19210620,-9999,    9
100110,19210621,-9999,    9
100110,19210622,-9999,    9
100110,19210623,-9999,    9
100110,19210624,-9999,    9
100110,19210625,-9999,    9
100110,19210626,-9999,    9
100110,19210627,-9999,    9
100110,19210628,-9999,    9
100110,19210629,-9999,    9
100110,19210630,-9999,    9
100110,19210701,-9999,    9
100110,19210702,-9999,    9
100110,19210703,-9999,    9
100110,19210704,-9999,    9
100110,19210705,-9999,    9
100110,19210706,-9999,    9
100110,19210707,-9999,    9
100110,19210708,-9999,    9
100110,19210709,-9999,    9
100110,19210710,-9999,    9
