EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 26-03-2018
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TN   : daily Minimum temperature in 0.1 &#176;C
23-27 Q_TN : quality code for TN (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, BORDEAUX-MERIGNAC (STAID: 34).
Blended and updated with sources: 100107 907510 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TN, Q_TN
100107,19201101,-9999,    9
100107,19201102,-9999,    9
100107,19201103,-9999,    9
100107,19201104,-9999,    9
100107,19201105,-9999,    9
100107,19201106,-9999,    9
100107,19201107,-9999,    9
100107,19201108,-9999,    9
100107,19201109,  -50,    0
100107,19201110,    5,    0
100107,19201111,   13,    0
100107,19201112,   18,    0
100107,19201113,   28,    0
100107,19201114,   36,    0
100107,19201115,   50,    0
100107,19201116,  112,    0
100107,19201117,  100,    0
100107,19201118,   43,    0
100107,19201119,   49,    0
100107,19201120,   48,    0
100107,19201121,   27,    0
100107,19201122,   -1,    0
100107,19201123,   -9,    0
100107,19201124,   -5,    0
100107,19201125,   50,    0
100107,19201126,   52,    0
100107,19201127,   64,    0
100107,19201128,   48,    0
100107,19201129,    6,    0
100107,19201130,    8,    0
100107,19201201,   25,    0
100107,19201202,   28,    0
100107,19201203,  110,    0
100107,19201204,   43,    0
100107,19201205,   36,    0
100107,19201206,   19,    0
100107,19201207,   24,    0
100107,19201208,    2,    0
100107,19201209,  -10,    0
100107,19201210,  -14,    0
100107,19201211,  -15,    0
100107,19201212,  -24,    0
100107,19201213,  -67,    0
100107,19201214,  -51,    0
100107,19201215,   26,    0
100107,19201216,  -21,    0
100107,19201217, -108,    0
100107,19201218, -124,    0
100107,19201219, -128,    0
100107,19201220, -121,    0
100107,19201221,  -28,    0
100107,19201222,    5,    0
100107,19201223,   39,    0
100107,19201224,   85,    0
100107,19201225,   66,    0
100107,19201226,   65,    0
100107,19201227,   58,    0
100107,19201228,   59,    0
100107,19201229,   94,    0
100107,19201230,   65,    0
100107,19201231,   32,    0
100107,19210101,   32,    0
100107,19210102,   33,    0
100107,19210103,   31,    0
100107,19210104,   16,    0
100107,19210105,    8,    0
100107,19210106,    6,    0
100107,19210107,   57,    0
100107,19210108,   51,    0
100107,19210109,   48,    0
100107,19210110,   63,    0
100107,19210111,   65,    0
100107,19210112,   65,    0
100107,19210113,   62,    0
100107,19210114,   40,    0
100107,19210115,  -35,    0
100107,19210116,  -25,    0
100107,19210117,  -69,    0
100107,19210118,   59,    0
100107,19210119,   77,    0
100107,19210120,   37,    0
100107,19210121,   45,    0
100107,19210122,  -27,    0
100107,19210123,   60,    0
100107,19210124,   68,    0
100107,19210125,   65,    0
100107,19210126,   57,    0
100107,19210127,   35,    0
100107,19210128,   35,    0
100107,19210129,   32,    0
100107,19210130,    4,    0
100107,19210131,   45,    0
100107,19210201,   44,    0
100107,19210202,   20,    0
100107,19210203,   85,    0
100107,19210204,   52,    0
100107,19210205,   65,    0
100107,19210206,    2,    0
100107,19210207,   -2,    0
100107,19210208,    8,    0
100107,19210209,    6,    0
100107,19210210,   15,    0
100107,19210211,   15,    0
100107,19210212,  -20,    0
100107,19210213,    2,    0
100107,19210214,  -63,    0
100107,19210215,   -6,    0
100107,19210216,  -38,    0
100107,19210217,  -12,    0
100107,19210218,   12,    0
100107,19210219,  -44,    0
100107,19210220,   14,    0
100107,19210221,   13,    0
100107,19210222,   56,    0
100107,19210223,   49,    0
100107,19210224,   41,    0
100107,19210225,   50,    0
100107,19210226,   67,    0
100107,19210227,   38,    0
100107,19210228,    2,    0
100107,19210301,  -25,    0
100107,19210302,  -12,    0
100107,19210303,    8,    0
100107,19210304,  -50,    0
100107,19210305,  -34,    0
100107,19210306,   68,    0
100107,19210307,    5,    0
100107,19210308,  -14,    0
100107,19210309,  -57,    0
100107,19210310,  -10,    0
100107,19210311,   55,    0
100107,19210312,   39,    0
100107,19210313,   55,    0
100107,19210314,   52,    0
100107,19210315,   11,    0
100107,19210316,   -1,    0
100107,19210317,  -15,    0
100107,19210318,   29,    0
100107,19210319,  -33,    0
100107,19210320,    4,    0
100107,19210321,   68,    0
100107,19210322,  -34,    0
100107,19210323,  -21,    0
100107,19210324,  -18,    0
100107,19210325,   20,    0
100107,19210326,   24,    0
100107,19210327,   58,    0
100107,19210328,   -3,    0
100107,19210329,   -1,    0
100107,19210330,   32,    0
100107,19210331,   -6,    0
100107,19210401,   28,    0
100107,19210402,   20,    0
100107,19210403,   44,    0
100107,19210404,   73,    0
100107,19210405,   64,    0
100107,19210406,    5,    0
100107,19210407,   48,    0
100107,19210408,   44,    0
100107,19210409,   38,    0
100107,19210410,   50,    0
100107,19210411,   54,    0
100107,19210412,   57,    0
100107,19210413,   56,    0
100107,19210414,   11,    0
100107,19210415,   57,    0
100107,19210416,   -9,    0
100107,19210417,   40,    0
100107,19210418,   57,    0
100107,19210419,   11,    0
100107,19210420,  -29,    0
100107,19210421,  -28,    0
100107,19210422,  -12,    0
100107,19210423,  -21,    0
100107,19210424,   73,    0
100107,19210425,   70,    0
100107,19210426,   -6,    0
100107,19210427,   40,    0
100107,19210428,   62,    0
100107,19210429,   65,    0
100107,19210430,   21,    0
100107,19210501,   92,    0
100107,19210502,   92,    0
100107,19210503,   78,    0
100107,19210504,   33,    0
100107,19210505,   47,    0
100107,19210506,   28,    0
100107,19210507,   87,    0
100107,19210508,  116,    0
100107,19210509,   18,    0
100107,19210510,   29,    0
100107,19210511,  125,    0
100107,19210512,  122,    0
100107,19210513,   76,    0
100107,19210514,   94,    0
100107,19210515,   97,    0
100107,19210516,  121,    0
100107,19210517,  140,    0
100107,19210518,  127,    0
100107,19210519,  121,    0
100107,19210520,  126,    0
100107,19210521,  144,    0
100107,19210522,  133,    0
100107,19210523,  147,    0
100107,19210524,  134,    0
100107,19210525,  128,    0
100107,19210526,  152,    0
100107,19210527,  133,    0
100107,19210528,   96,    0
100107,19210529,   58,    0
100107,19210530,   25,    0
100107,19210531,   87,    0
100107,19210601,  131,    0
100107,19210602,  102,    0
100107,19210603,  148,    0
100107,19210604,  140,    0
100107,19210605,  139,    0
100107,19210606,  126,    0
100107,19210607,  167,    0
100107,19210608,  164,    0
100107,19210609,  153,    0
100107,19210610,   94,    0
100107,19210611,   53,    0
100107,19210612,   92,    0
100107,19210613,   64,    0
100107,19210614,  126,    0
100107,19210615,   81,    0
100107,19210616,  114,    0
100107,19210617,  136,    0
100107,19210618,  111,    0
100107,19210619,  127,    0
100107,19210620,  135,    0
100107,19210621,   87,    0
100107,19210622,   93,    0
100107,19210623,   73,    0
100107,19210624,   97,    0
100107,19210625,  140,    0
100107,19210626,   72,    0
100107,19210627,  169,    0
100107,19210628,  170,    0
100107,19210629,  158,    0
100107,19210630,  134,    0
100107,19210701,  109,    0
100107,19210702,  108,    0
100107,19210703,  128,    0
100107,19210704,   98,    0
100107,19210705,   94,    0
100107,19210706,  123,    0
100107,19210707,  108,    0
100107,19210708,  108,    0
100107,19210709,  104,    0
100107,19210710,  129,    0
100107,19210711,  139,    0
100107,19210712,  127,    0
100107,19210713,  169,    0
100107,19210714,  134,    0
100107,19210715,  167,    0
100107,19210716,  154,    0
100107,19210717,  194,    0
100107,19210718,  165,    0
100107,19210719,  130,    0
100107,19210720,  179,    0
100107,19210721,  183,    0
100107,19210722,  143,    0
100107,19210723,  117,    0
100107,19210724,  166,    0
100107,19210725,  141,    0
100107,19210726,  155,    0
100107,19210727,  173,    0
100107,19210728,  181,    0
100107,19210729,  158,    0
100107,19210730,   69,    0
100107,19210731,  156,    0
100107,19210801,  141,    0
100107,19210802,  161,    0
100107,19210803,  164,    0
100107,19210804,   48,    0
100107,19210805,   84,    0
100107,19210806,  131,    0
100107,19210807,  194,    0
100107,19210808,  135,    0
100107,19210809,  116,    0
100107,19210810,  171,    0
100107,19210811,  141,    0
100107,19210812,  100,    0
100107,19210813,  120,    0
100107,19210814,  101,    0
100107,19210815,  125,    0
100107,19210816,  131,    0
100107,19210817,  150,    0
100107,19210818,  122,    0
100107,19210819,  111,    0
100107,19210820,  136,    0
100107,19210821,  151,    0
100107,19210822,  126,    0
100107,19210823,  109,    0
100107,19210824,  107,    0
100107,19210825,  146,    0
100107,19210826,  153,    0
100107,19210827,  153,    0
100107,19210828,  112,    0
100107,19210829,  140,    0
100107,19210830,  117,    0
100107,19210831,   79,    0
100107,19210901,   87,    0
100107,19210902,   98,    0
100107,19210903,  163,    0
100107,19210904,  130,    0
100107,19210905,  129,    0
100107,19210906,  168,    0
100107,19210907,  123,    0
100107,19210908,  167,    0
100107,19210909,  172,    0
100107,19210910,  126,    0
100107,19210911,  125,    0
100107,19210912,  147,    0
100107,19210913,   95,    0
100107,19210914,  122,    0
100107,19210915,  165,    0
100107,19210916,  180,    0
100107,19210917,  140,    0
100107,19210918,   99,    0
100107,19210919,  178,    0
100107,19210920,  138,    0
100107,19210921,  173,    0
100107,19210922,  147,    0
100107,19210923,  140,    0
100107,19210924,  120,    0
100107,19210925,  140,    0
100107,19210926,   84,    0
100107,19210927,  118,    0
100107,19210928,   81,    0
100107,19210929,   32,    0
100107,19210930,   23,    0
100107,19211001,   74,    0
100107,19211002,  166,    0
100107,19211003,  152,    0
100107,19211004,  146,    0
100107,19211005,  149,    0
100107,19211006,  166,    0
100107,19211007,  137,    0
100107,19211008,  120,    0
100107,19211009,  130,    0
100107,19211010,  154,    0
100107,19211011,  147,    0
100107,19211012,  124,    0
100107,19211013,  128,    0
100107,19211014,  110,    0
100107,19211015,   98,    0
100107,19211016,   68,    0
100107,19211017,   84,    0
100107,19211018,  138,    0
100107,19211019,  123,    0
100107,19211020,  127,    0
100107,19211021,  115,    0
100107,19211022,  103,    0
100107,19211023,  121,    0
100107,19211024,   61,    0
100107,19211025,   29,    0
100107,19211026,   14,    0
100107,19211027,   -9,    0
100107,19211028,   29,    0
100107,19211029,  -10,    0
100107,19211030,   18,    0
100107,19211031,   69,    0
100107,19211101,   19,    0
100107,19211102,   25,    0
100107,19211103,   98,    0
100107,19211104,  130,    0
100107,19211105,  135,    0
100107,19211106,   72,    0
100107,19211107,   23,    0
100107,19211108,   41,    0
100107,19211109,  -14,    0
100107,19211110,  -31,    0
100107,19211111,  -88,    0
100107,19211112, -123,    0
100107,19211113,  -96,    0
100107,19211114,  -67,    0
100107,19211115,   49,    0
100107,19211116,   14,    0
100107,19211117,   66,    0
100107,19211118,   70,    0
100107,19211119,   31,    0
100107,19211120,   40,    0
100107,19211121,   60,    0
100107,19211122,   56,    0
100107,19211123,   87,    0
100107,19211124,   94,    0
100107,19211125,   79,    0
100107,19211126,   85,    0
100107,19211127,   82,    0
100107,19211128,   28,    0
100107,19211129,   20,    0
100107,19211130,   36,    0
100107,19211201,   37,    0
100107,19211202,    4,    0
100107,19211203,    9,    0
100107,19211204,  -20,    0
100107,19211205,  -50,    0
100107,19211206,  -18,    0
100107,19211207,  -12,    0
100107,19211208,  -20,    0
100107,19211209,   80,    0
100107,19211210,   83,    0
100107,19211211,   84,    0
100107,19211212,   15,    0
100107,19211213,   52,    0
100107,19211214,   38,    0
100107,19211215,   20,    0
100107,19211216,   66,    0
100107,19211217,  -28,    0
100107,19211218,   82,    0
100107,19211219,   81,    0
100107,19211220,   76,    0
100107,19211221,   54,    0
100107,19211222,   16,    0
100107,19211223,   28,    0
100107,19211224,   17,    0
100107,19211225,  -49,    0
100107,19211226,   46,    0
100107,19211227,  -18,    0
100107,19211228,  118,    0
100107,19211229,   77,    0
100107,19211230,  -16,    0
100107,19211231,   82,    0
100107,19220101,   40,    0
100107,19220102,   63,    0
100107,19220103,   62,    0
100107,19220104,   23,    0
100107,19220105,  -37,    0
100107,19220106,  -46,    0
100107,19220107,   36,    0
100107,19220108,   49,    0
100107,19220109,  104,    0
100107,19220110,   90,    0
100107,19220111,   74,    0
100107,19220112,   14,    0
100107,19220113,  -57,    0
100107,19220114,  -56,    0
100107,19220115, -104,    0
100107,19220116,   34,    0
100107,19220117,    3,    0
100107,19220118,  -48,    0
100107,19220119,   22,    0
100107,19220120,   21,    0
100107,19220121,   40,    0
100107,19220122,   38,    0
100107,19220123,    5,    0
100107,19220124,   24,    0
100107,19220125,   61,    0
100107,19220126,   74,    0
100107,19220127,   34,    0
100107,19220128,   75,    0
100107,19220129,   70,    0
100107,19220130,   55,    0
100107,19220131,   56,    0
100107,19220201,   28,    0
100107,19220202,   60,    0
100107,19220203,  112,    0
100107,19220204,   64,    0
100107,19220205,   57,    0
100107,19220206,  -44,    0
100107,19220207,  -63,    0
100107,19220208,  -44,    0
100107,19220209,  -26,    0
100107,19220210,    2,    0
100107,19220211,  -47,    0
100107,19220212,   -2,    0
100107,19220213,  -23,    0
100107,19220214,  -21,    0
100107,19220215,  -58,    0
100107,19220216,  -21,    0
100107,19220217,   10,    0
100107,19220218,    3,    0
100107,19220219,   57,    0
100107,19220220,   90,    0
100107,19220221,   29,    0
100107,19220222,   21,    0
100107,19220223,   66,    0
100107,19220224,   13,    0
100107,19220225,   10,    0
100107,19220226,   40,    0
100107,19220227,   44,    0
100107,19220228,   76,    0
100107,19220301,   84,    0
100107,19220302,   22,    0
100107,19220303,   46,    0
100107,19220304,   51,    0
100107,19220305,   28,    0
100107,19220306,   47,    0
100107,19220307,   59,    0
100107,19220308,   56,    0
100107,19220309,   56,    0
100107,19220310,    0,    0
100107,19220311,   12,    0
100107,19220312,  -10,    0
100107,19220313,   21,    0
100107,19220314,   12,    0
100107,19220315,   20,    0
100107,19220316,    9,    0
100107,19220317,    7,    0
100107,19220318,   18,    0
100107,19220319,   56,    0
100107,19220320,   76,    0
100107,19220321,   25,    0
100107,19220322,    2,    0
100107,19220323,    0,    0
100107,19220324,   -7,    0
100107,19220325,   46,    0
100107,19220326,   16,    0
100107,19220327,   -9,    0
100107,19220328,   13,    0
100107,19220329,   -2,    0
100107,19220330,  -33,    0
100107,19220331,   29,    0
100107,19220401,   56,    0
100107,19220402,   76,    0
100107,19220403,  103,    0
100107,19220404,   88,    0
100107,19220405,   46,    0
100107,19220406,   32,    0
100107,19220407,   82,    0
100107,19220408,  113,    0
100107,19220409,  112,    0
100107,19220410,   94,    0
100107,19220411,   99,    0
100107,19220412,   89,    0
100107,19220413,   89,    0
100107,19220414,  114,    0
100107,19220415,   97,    0
100107,19220416,   38,    0
100107,19220417,   30,    0
100107,19220418,   34,    0
100107,19220419,   49,    0
100107,19220420,   56,    0
100107,19220421,   82,    0
100107,19220422,   80,    0
100107,19220423,   69,    0
100107,19220424,   70,    0
100107,19220425,   55,    0
100107,19220426,   80,    0
100107,19220427,   30,    0
100107,19220428,   35,    0
100107,19220429,    7,    0
100107,19220430,   49,    0
100107,19220501,   13,    0
100107,19220502,   54,    0
100107,19220503,   48,    0
100107,19220504,  102,    0
100107,19220505,  102,    0
100107,19220506,   54,    0
100107,19220507,   67,    0
100107,19220508,   78,    0
100107,19220509,   83,    0
100107,19220510,   94,    0
100107,19220511,  116,    0
100107,19220512,  136,    0
100107,19220513,   94,    0
100107,19220514,   56,    0
100107,19220515,   80,    0
100107,19220516,   88,    0
100107,19220517,   68,    0
100107,19220518,   98,    0
100107,19220519,   58,    0
100107,19220520,  107,    0
100107,19220521,  130,    0
100107,19220522,  146,    0
100107,19220523,  148,    0
100107,19220524,  156,    0
100107,19220525,  156,    0
100107,19220526,  138,    0
100107,19220527,  139,    0
100107,19220528,  139,    0
100107,19220529,  151,    0
100107,19220530,  187,    0
100107,19220531,  161,    0
100107,19220601,  155,    0
100107,19220602,  149,    0
100107,19220603,  151,    0
100107,19220604,  115,    0
100107,19220605,  182,    0
100107,19220606,  171,    0
100107,19220607,  176,    0
100107,19220608,  144,    0
100107,19220609,  127,    0
100107,19220610,  102,    0
100107,19220611,  110,    0
100107,19220612,  102,    0
100107,19220613,   99,    0
100107,19220614,  112,    0
100107,19220615,   92,    0
100107,19220616,   65,    0
100107,19220617,   98,    0
100107,19220618,  115,    0
100107,19220619,   44,    0
100107,19220620,   72,    0
100107,19220621,  102,    0
100107,19220622,  151,    0
100107,19220623,   59,    0
100107,19220624,   96,    0
100107,19220625,   96,    0
100107,19220626,   97,    0
100107,19220627,  117,    0
100107,19220628,  136,    0
100107,19220629,  120,    0
100107,19220630,   36,    0
100107,19220701,   53,    0
100107,19220702,  148,    0
100107,19220703,  127,    0
100107,19220704,  135,    0
100107,19220705,  157,    0
100107,19220706,  161,    0
100107,19220707,   89,    0
100107,19220708,   90,    0
100107,19220709,   83,    0
100107,19220710,   62,    0
100107,19220711,  140,    0
100107,19220712,   60,    0
100107,19220713,   48,    0
100107,19220714,  104,    0
100107,19220715,  138,    0
100107,19220716,   84,    0
100107,19220717,   81,    0
100107,19220718,   93,    0
100107,19220719,  109,    0
100107,19220720,   51,    0
100107,19220721,  114,    0
100107,19220722,  138,    0
100107,19220723,  122,    0
100107,19220724,  134,    0
100107,19220725,  114,    0
100107,19220726,   84,    0
100107,19220727,   86,    0
100107,19220728,  116,    0
100107,19220729,  112,    0
100107,19220730,  133,    0
100107,19220731,  132,    0
100107,19220801,   80,    0
100107,19220802,   51,    0
100107,19220803,   48,    0
100107,19220804,  104,    0
100107,19220805,  115,    0
100107,19220806,  132,    0
100107,19220807,  166,    0
100107,19220808,  161,    0
100107,19220809,  120,    0
100107,19220810,   60,    0
100107,19220811,  109,    0
100107,19220812,  110,    0
100107,19220813,  144,    0
100107,19220814,  175,    0
100107,19220815,  110,    0
100107,19220816,   27,    0
100107,19220817,   56,    0
100107,19220818,  141,    0
100107,19220819,  112,    0
100107,19220820,   81,    0
100107,19220821,  126,    0
100107,19220822,  188,    0
100107,19220823,  146,    0
100107,19220824,  130,    0
100107,19220825,  124,    0
100107,19220826,  132,    0
100107,19220827,   73,    0
100107,19220828,  156,    0
100107,19220829,  139,    0
100107,19220830,  125,    0
100107,19220831,  132,    0
100107,19220901,  103,    0
100107,19220902,   51,    0
100107,19220903,   48,    0
100107,19220904,   74,    0
100107,19220905,   50,    0
100107,19220906,   84,    0
100107,19220907,  114,    0
100107,19220908,   98,    0
100107,19220909,   85,    0
100107,19220910,   64,    0
100107,19220911,   66,    0
100107,19220912,   47,    0
100107,19220913,  119,    0
100107,19220914,  113,    0
100107,19220915,  113,    0
100107,19220916,   72,    0
100107,19220917,   56,    0
100107,19220918,  116,    0
100107,19220919,   42,    0
100107,19220920,   60,    0
100107,19220921,  103,    0
100107,19220922,  115,    0
100107,19220923,   90,    0
100107,19220924,  102,    0
100107,19220925,   19,    0
100107,19220926,  131,    0
100107,19220927,  112,    0
100107,19220928,   92,    0
100107,19220929,   84,    0
100107,19220930,   93,    0
100107,19221001,   34,    0
100107,19221002,   92,    0
100107,19221003,  107,    0
100107,19221004,  104,    0
100107,19221005,  147,    0
100107,19221006,  102,    0
100107,19221007,   96,    0
100107,19221008,   76,    0
100107,19221009,   84,    0
100107,19221010,   56,    0
100107,19221011,   13,    0
100107,19221012,   36,    0
100107,19221013,   72,    0
100107,19221014,  100,    0
100107,19221015,   94,    0
100107,19221016,   80,    0
100107,19221017,  102,    0
100107,19221018,  122,    0
100107,19221019,   88,    0
100107,19221020,   88,    0
100107,19221021,  139,    0
100107,19221022,  116,    0
100107,19221023,   60,    0
100107,19221024,   50,    0
100107,19221025,   44,    0
100107,19221026,  -42,    0
100107,19221027,   17,    0
100107,19221028,   69,    0
100107,19221029,   68,    0
100107,19221030,   86,    0
100107,19221031,   50,    0
100107,19221101,    8,    0
100107,19221102,  111,    0
100107,19221103,  110,    0
100107,19221104,   64,    0
100107,19221105,   -3,    0
100107,19221106,   48,    0
100107,19221107,   92,    0
100107,19221108,   64,    0
100107,19221109,   83,    0
100107,19221110,   46,    0
100107,19221111,   74,    0
100107,19221112,   89,    0
100107,19221113,   25,    0
100107,19221114,  -27,    0
100107,19221115,    1,    0
100107,19221116,   -1,    0
100107,19221117,  -32,    0
100107,19221118,  -36,    0
100107,19221119,   35,    0
100107,19221120,  -16,    0
100107,19221121,  -15,    0
100107,19221122,  -31,    0
100107,19221123,  -30,    0
100107,19221124,  -10,    0
100107,19221125,  -10,    0
100107,19221126,  -64,    0
100107,19221127,   24,    0
100107,19221128,  -72,    0
100107,19221129,   22,    0
100107,19221130,  -24,    0
100107,19221201,  -37,    0
100107,19221202,   48,    0
100107,19221203,   -3,    0
100107,19221204,   45,    0
100107,19221205,   65,    0
100107,19221206,   49,    0
100107,19221207,  -16,    0
100107,19221208,  -24,    0
100107,19221209,   31,    0
100107,19221210,  -56,    0
100107,19221211,  -67,    0
100107,19221212,  -33,    0
100107,19221213,  -30,    0
100107,19221214,  -19,    0
100107,19221215,   23,    0
100107,19221216,   30,    0
100107,19221217,   26,    0
100107,19221218,   87,    0
100107,19221219,   78,    0
100107,19221220,   60,    0
100107,19221221,    4,    0
100107,19221222,   49,    0
100107,19221223,   22,    0
100107,19221224,    5,    0
100107,19221225,  -37,    0
100107,19221226,   -3,    0
100107,19221227,    5,    0
100107,19221228,    1,    0
100107,19221229,   67,    0
100107,19221230,   64,    0
100107,19221231,   44,    0
100107,19230101,-9999,    9
100107,19230102,-9999,    9
100107,19230103,-9999,    9
100107,19230104,-9999,    9
100107,19230105,-9999,    9
100107,19230106,-9999,    9
100107,19230107,-9999,    9
100107,19230108,-9999,    9
100107,19230109,-9999,    9
100107,19230110,-9999,    9
100107,19230111,-9999,    9
100107,19230112,-9999,    9
100107,19230113,-9999,    9
100107,19230114,-9999,    9
100107,19230115,-9999,    9
100107,19230116,-9999,    9
100107,19230117,-9999,    9
100107,19230118,-9999,    9
100107,19230119,-9999,    9
100107,19230120,-9999,    9
100107,19230121,-9999,    9
100107,19230122,-9999,    9
100107,19230123,-9999,    9
100107,19230124,-9999,    9
100107,19230125,-9999,    9
100107,19230126,-9999,    9
100107,19230127,-9999,    9
100107,19230128,-9999,    9
100107,19230129,-9999,    9
100107,19230130,-9999,    9
100107,19230131,-9999,    9
100107,19230201,-9999,    9
100107,19230202,-9999,    9
100107,19230203,-9999,    9
100107,19230204,-9999,    9
100107,19230205,-9999,    9
100107,19230206,-9999,    9
100107,19230207,-9999,    9
100107,19230208,-9999,    9
100107,19230209,-9999,    9
100107,19230210,-9999,    9
100107,19230211,-9999,    9
100107,19230212,-9999,    9
100107,19230213,-9999,    9
100107,19230214,-9999,    9
100107,19230215,-9999,    9
100107,19230216,-9999,    9
100107,19230217,-9999,    9
100107,19230218,-9999,    9
100107,19230219,-9999,    9
100107,19230220,-9999,    9
100107,19230221,-9999,    9
100107,19230222,-9999,    9
100107,19230223,-9999,    9
100107,19230224,-9999,    9
100107,19230225,-9999,    9
100107,19230226,-9999,    9
