EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 26-03-2018
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 HU   : daily Humidity in 1 %
23-27 Q_HU : quality code for HU (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, BORDEAUX-MERIGNAC (STAID: 34).
Blended and updated with sources: 175646 907510 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   HU, Q_HU
175646,19201101,-9999,    9
175646,19201102,-9999,    9
175646,19201103,-9999,    9
175646,19201104,-9999,    9
175646,19201105,-9999,    9
175646,19201106,-9999,    9
175646,19201107,-9999,    9
175646,19201108,-9999,    9
175646,19201109,   93,    0
175646,19201110,   91,    0
175646,19201111,   97,    0
175646,19201112,   97,    0
175646,19201113,   94,    0
175646,19201114,   95,    0
175646,19201115,   85,    0
175646,19201116,   95,    0
175646,19201117,   84,    0
175646,19201118,   95,    0
175646,19201119,   88,    0
175646,19201120,   82,    0
175646,19201121,   82,    0
175646,19201122,   93,    0
175646,19201123,   73,    0
175646,19201124,   82,    0
175646,19201125,   85,    0
175646,19201126,   94,    0
175646,19201127,   94,    0
175646,19201128,   93,    0
175646,19201129,   90,    0
175646,19201130,   84,    0
175646,19201201,   89,    0
175646,19201202,   95,    0
175646,19201203,   93,    0
175646,19201204,   79,    0
175646,19201205,   80,    0
175646,19201206,   90,    0
175646,19201207,   79,    0
175646,19201208,   82,    0
175646,19201209,   76,    0
175646,19201210,   89,    0
175646,19201211,   77,    0
175646,19201212,   86,    0
175646,19201213,   92,    0
175646,19201214,   97,    0
175646,19201215,   93,    0
175646,19201216,   76,    0
175646,19201217,   98,    0
175646,19201218,   85,    0
175646,19201219,   96,    0
175646,19201220,   96,    0
175646,19201221,   88,    0
175646,19201222,   89,    0
175646,19201223,   92,    0
175646,19201224,   88,    0
175646,19201225,   82,    0
175646,19201226,   76,    0
175646,19201227,   71,    0
175646,19201228,   92,    0
175646,19201229,   92,    0
175646,19201230,   85,    0
175646,19201231,   72,    0
175646,19210101,   79,    0
175646,19210102,   78,    0
175646,19210103,   85,    0
175646,19210104,   88,    0
175646,19210105,   85,    0
175646,19210106,   97,    0
175646,19210107,   94,    0
175646,19210108,   81,    0
175646,19210109,   97,    0
175646,19210110,   83,    0
175646,19210111,   92,    0
175646,19210112,   73,    0
175646,19210113,   82,    0
175646,19210114,   73,    0
175646,19210115,   86,    0
175646,19210116,   75,    0
175646,19210117,   97,    0
175646,19210118,   92,    0
175646,19210119,   72,    0
175646,19210120,   62,    0
175646,19210121,   86,    0
175646,19210122,   91,    0
175646,19210123,   85,    0
175646,19210124,   91,    0
175646,19210125,   91,    0
175646,19210126,   94,    0
175646,19210127,   95,    0
175646,19210128,   95,    0
175646,19210129,   71,    0
175646,19210130,   97,    0
175646,19210131,   97,    0
175646,19210201,   88,    0
175646,19210202,   95,    0
175646,19210203,   81,    0
175646,19210204,   85,    0
175646,19210205,   97,    0
175646,19210206,   80,    0
175646,19210207,   82,    0
175646,19210208,   75,    0
175646,19210209,   72,    0
175646,19210210,   89,    0
175646,19210211,   86,    0
175646,19210212,   66,    0
175646,19210213,   79,    0
