EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 30-03-2018
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 FG   : daily Wind speed in 0.1 m/s
23-27 Q_FG : quality code for FG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, PLOUMANAC'H (STAID: 11245).
Blended and updated with sources: 175637 907117 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   FG, Q_FG
175637,19970401,-9999,    9
175637,19970402,-9999,    9
175637,19970403,-9999,    9
175637,19970404,-9999,    9
175637,19970405,-9999,    9
175637,19970406,-9999,    9
175637,19970407,-9999,    9
175637,19970408,-9999,    9
175637,19970409,-9999,    9
175637,19970410,-9999,    9
175637,19970411,-9999,    9
175637,19970412,-9999,    9
175637,19970413,-9999,    9
175637,19970414,-9999,    9
175637,19970415,-9999,    9
175637,19970416,-9999,    9
175637,19970417,-9999,    9
175637,19970418,-9999,    9
175637,19970419,-9999,    9
175637,19970420,-9999,    9
175637,19970421,-9999,    9
175637,19970422,-9999,    9
175637,19970423,-9999,    9
175637,19970424,-9999,    9
175637,19970425,-9999,    9
175637,19970426,-9999,    9
175637,19970427,-9999,    9
175637,19970428,-9999,    9
175637,19970429,   60,    0
175637,19970430,   34,    0
175637,19970501,   42,    0
175637,19970502,   44,    0
175637,19970503,   46,    0
175637,19970504,   68,    0
175637,19970505,   66,    0
175637,19970506,   95,    0
175637,19970507,   51,    0
175637,19970508,   82,    0
175637,19970509,   82,    0
175637,19970510,-9999,    9
175637,19970511,   68,    0
175637,19970512,   52,    0
175637,19970513,   34,    0
175637,19970514,   28,    0
175637,19970515,   44,    0
175637,19970516,   36,    0
175637,19970517,   25,    0
175637,19970518,   32,    0
175637,19970519,   46,    0
175637,19970520,   62,    0
175637,19970521,   71,    0
175637,19970522,   30,    0
175637,19970523,   68,    0
175637,19970524,  116,    0
175637,19970525,  108,    0
175637,19970526,   69,    0
175637,19970527,   72,    0
175637,19970528,  112,    0
175637,19970529,   72,    0
175637,19970530,   59,    0
175637,19970531,   79,    0
175637,19970601,  128,    0
175637,19970602,   62,    0
175637,19970603,   26,    0
175637,19970604,   31,    0
175637,19970605,   38,    0
175637,19970606,   46,    0
175637,19970607,   60,    0
175637,19970608,   51,    0
175637,19970609,   30,    0
175637,19970610,   51,    0
175637,19970611,   48,    0
175637,19970612,   44,    0
175637,19970613,   34,    0
175637,19970614,   42,    0
175637,19970615,   30,    0
175637,19970616,   36,    0
175637,19970617,   28,    0
175637,19970618,   34,    0
175637,19970619,   62,    0
175637,19970620,   69,    0
175637,19970621,   92,    0
175637,19970622,   85,    0
175637,19970623,   66,    0
175637,19970624,   46,    0
175637,19970625,   76,    0
175637,19970626,  100,    0
175637,19970627,  102,    0
175637,19970628,   58,    0
175637,19970629,   26,    0
175637,19970630,   48,    0
175637,19970701,   42,    0
175637,19970702,   50,    0
175637,19970703,   49,    0
175637,19970704,   44,    0
175637,19970705,   40,    0
175637,19970706,   30,    0
175637,19970707,   20,    0
175637,19970708,   30,    0
175637,19970709,   32,    0
175637,19970710,   44,    0
175637,19970711,   36,    0
175637,19970712,   40,    0
175637,19970713,   49,    0
175637,19970714,   46,    0
175637,19970715,   48,    0
175637,19970716,   36,    0
175637,19970717,   51,    0
175637,19970718,   50,    0
175637,19970719,   24,    0
175637,19970720,   30,    0
175637,19970721,   48,    0
175637,19970722,   40,    0
175637,19970723,   21,    0
175637,19970724,   55,    0
175637,19970725,   55,    0
175637,19970726,   60,    0
175637,19970727,   42,    0
175637,19970728,   26,    0
175637,19970729,   25,    0
175637,19970730,   49,    0
175637,19970731,   54,    0
175637,19970801,   66,    0
175637,19970802,   31,    0
175637,19970803,   21,    0
175637,19970804,   25,    0
175637,19970805,   28,    0
175637,19970806,   25,    0
175637,19970807,   31,    0
175637,19970808,   18,    0
175637,19970809,   28,    0
175637,19970810,   28,    0
175637,19970811,   26,    0
175637,19970812,   39,    0
175637,19970813,   32,    0
175637,19970814,   24,    0
175637,19970815,   29,    0
175637,19970816,   28,    0
175637,19970817,   30,    0
175637,19970818,   28,    0
175637,19970819,   19,    0
175637,19970820,   24,    0
175637,19970821,   36,    0
175637,19970822,   35,    0
175637,19970823,   32,    0
175637,19970824,   28,    0
175637,19970825,   34,    0
175637,19970826,   45,    0
175637,19970827,   42,    0
175637,19970828,   74,    0
175637,19970829,   72,    0
175637,19970830,   56,    0
175637,19970831,   64,    0
175637,19970901,   44,    0
175637,19970902,   48,    0
175637,19970903,   51,    0
175637,19970904,   34,    0
175637,19970905,   39,    0
175637,19970906,   41,    0
175637,19970907,   36,    0
175637,19970908,   29,    0
175637,19970909,   52,    0
175637,19970910,   58,    0
175637,19970911,   59,    0
175637,19970912,   58,    0
175637,19970913,   58,    0
175637,19970914,   30,    0
175637,19970915,   30,    0
175637,19970916,   30,    0
175637,19970917,   31,    0
175637,19970918,   25,    0
175637,19970919,   39,    0
175637,19970920,   55,    0
175637,19970921,   50,    0
175637,19970922,   31,    0
175637,19970923,   49,    0
175637,19970924,   55,    0
175637,19970925,   56,    0
175637,19970926,   48,    0
175637,19970927,   30,    0
175637,19970928,   34,    0
175637,19970929,   20,    0
175637,19970930,   21,    0
175637,19971001,   15,    0
175637,19971002,   25,    0
175637,19971003,   28,    0
175637,19971004,   25,    0
175637,19971005,   36,    0
175637,19971006,   49,    0
175637,19971007,   72,    0
175637,19971008,  109,    0
175637,19971009,  101,    0
175637,19971010,   66,    0
175637,19971011,   81,    0
175637,19971012,   88,    0
175637,19971013,   76,    0
175637,19971014,   40,    0
175637,19971015,   71,    0
175637,19971016,   38,    0
175637,19971017,   50,    0
175637,19971018,   49,    0
175637,19971019,   51,    0
175637,19971020,   62,    0
175637,19971021,   76,    0
175637,19971022,   30,    0
175637,19971023,   45,    0
175637,19971024,   61,    0
175637,19971025,   58,    0
175637,19971026,   61,    0
175637,19971027,   78,    0
175637,19971028,  100,    0
175637,19971029,   52,    0
175637,19971030,   24,    0
175637,19971031,   54,    0
175637,19971101,   84,    0
175637,19971102,   49,    0
175637,19971103,   71,    0
175637,19971104,   62,    0
175637,19971105,   60,    0
175637,19971106,   68,    0
175637,19971107,   56,    0
175637,19971108,   88,    0
175637,19971109,   90,    0
175637,19971110,   65,    0
175637,19971111,   32,    0
175637,19971112,   25,    0
175637,19971113,   38,    0
175637,19971114,   55,    0
175637,19971115,   52,    0
175637,19971116,   50,    0
175637,19971117,   59,    0
175637,19971118,   59,    0
175637,19971119,   56,    0
175637,19971120,   64,    0
175637,19971121,   48,    0
175637,19971122,   48,    0
175637,19971123,   54,    0
175637,19971124,   51,    0
175637,19971125,   44,    0
175637,19971126,   25,    0
175637,19971127,   42,    0
175637,19971128,   61,    0
175637,19971129,   70,    0
175637,19971130,   71,    0
175637,19971201,   39,    0
175637,19971202,  102,    0
175637,19971203,   74,    0
175637,19971204,   70,    0
175637,19971205,   29,    0
175637,19971206,   48,    0
175637,19971207,   66,    0
175637,19971208,   75,    0
175637,19971209,   75,    0
175637,19971210,   86,    0
175637,19971211,   92,    0
175637,19971212,   68,    0
175637,19971213,   31,    0
175637,19971214,   49,    0
175637,19971215,   96,    0
175637,19971216,  118,    0
175637,19971217,   64,    0
175637,19971218,   45,    0
175637,19971219,   51,    0
175637,19971220,   56,    0
175637,19971221,   25,    0
175637,19971222,   41,    0
175637,19971223,   69,    0
175637,19971224,   95,    0
175637,19971225,   92,    0
175637,19971226,   98,    0
175637,19971227,   76,    0
175637,19971228,   40,    0
175637,19971229,   49,    0
175637,19971230,   56,    0
175637,19971231,   74,    0
175637,19980101,   79,    0
175637,19980102,  124,    0
175637,19980103,  131,    0
175637,19980104,  110,    0
175637,19980105,  130,    0
175637,19980106,   68,    0
175637,19980107,   94,    0
175637,19980108,   85,    0
175637,19980109,   54,    0
175637,19980110,   55,    0
175637,19980111,   55,    0
175637,19980112,   46,    0
175637,19980113,   70,    0
175637,19980114,   88,    0
175637,19980115,   74,    0
175637,19980116,   91,    0
175637,19980117,   42,    0
175637,19980118,  116,    0
175637,19980119,   90,    0
175637,19980120,   52,    0
175637,19980121,   44,    0
175637,19980122,   45,    0
175637,19980123,   94,    0
175637,19980124,  106,    0
175637,19980125,  140,    0
175637,19980126,   82,    0
175637,19980127,   85,    0
175637,19980128,   71,    0
175637,19980129,   78,    0
175637,19980130,   62,    0
175637,19980131,   75,    0
175637,19980201,   62,    0
175637,19980202,   69,    0
175637,19980203,   72,    0
175637,19980204,   24,    0
175637,19980205,   28,    0
175637,19980206,   42,    0
175637,19980207,   48,    0
175637,19980208,   48,    0
175637,19980209,   35,    0
175637,19980210,   28,    0
175637,19980211,   48,    0
175637,19980212,   40,    0
175637,19980213,   14,    0
175637,19980214,   22,    0
175637,19980215,   45,    0
175637,19980216,   60,    0
175637,19980217,   32,    0
175637,19980218,   31,    0
175637,19980219,   38,    0
175637,19980220,   61,    0
175637,19980221,   61,    0
175637,19980222,   61,    0
175637,19980223,   44,    0
175637,19980224,   38,    0
175637,19980225,   35,    0
175637,19980226,   31,    0
175637,19980227,   65,    0
175637,19980228,   68,    0
175637,19980301,   58,    0
175637,19980302,   69,    0
175637,19980303,  112,    0
175637,19980304,   98,    0
175637,19980305,   80,    0
175637,19980306,   96,    0
175637,19980307,  104,    0
175637,19980308,   56,    0
175637,19980309,   42,    0
175637,19980310,   75,    0
175637,19980311,  102,    0
175637,19980312,   69,    0
175637,19980313,   49,    0
175637,19980314,   25,    0
175637,19980315,   24,    0
175637,19980316,   18,    0
175637,19980317,   22,    0
175637,19980318,   42,    0
175637,19980319,   54,    0
175637,19980320,   54,    0
175637,19980321,   55,    0
175637,19980322,   81,    0
175637,19980323,   32,    0
175637,19980324,   16,    0
175637,19980325,   36,    0
175637,19980326,   70,    0
175637,19980327,   41,    0
175637,19980328,   36,    0
175637,19980329,   40,    0
175637,19980330,   51,    0
175637,19980331,   42,    0
175637,19980401,   39,    0
175637,19980402,   55,    0
175637,19980403,   91,    0
175637,19980404,   98,    0
175637,19980405,   76,    0
175637,19980406,   60,    0
175637,19980407,   48,    0
175637,19980408,   44,    0
175637,19980409,   28,    0
175637,19980410,   74,    0
175637,19980411,   86,    0
175637,19980412,   49,    0
175637,19980413,   55,    0
175637,19980414,   55,    0
175637,19980415,   90,    0
175637,19980416,   65,    0
175637,19980417,   94,    0
175637,19980418,   64,    0
175637,19980419,   45,    0
175637,19980420,   45,    0
175637,19980421,   44,    0
175637,19980422,   30,    0
175637,19980423,   81,    0
175637,19980424,   61,    0
175637,19980425,   56,    0
175637,19980426,   54,    0
175637,19980427,   51,    0
175637,19980428,   38,    0
175637,19980429,   30,    0
175637,19980430,   89,    0
175637,19980501,   84,    0
175637,19980502,   48,    0
175637,19980503,   78,    0
175637,19980504,   50,    0
175637,19980505,   66,    0
175637,19980506,   80,    0
175637,19980507,   52,    0
175637,19980508,   34,    0
175637,19980509,   41,    0
175637,19980510,   49,    0
175637,19980511,   40,    0
175637,19980512,   21,    0
175637,19980513,   35,    0
175637,19980514,   34,    0
175637,19980515,   20,    0
175637,19980516,   24,    0
175637,19980517,   39,    0
175637,19980518,   41,    0
175637,19980519,   35,    0
175637,19980520,   36,    0
175637,19980521,   24,    0
175637,19980522,   42,    0
175637,19980523,   21,    0
175637,19980524,   29,    0
175637,19980525,   44,    0
175637,19980526,   52,    0
175637,19980527,   42,    0
175637,19980528,   38,    0
175637,19980529,   39,    0
175637,19980530,   49,    0
175637,19980531,   39,    0
175637,19980601,   45,    0
175637,19980602,   60,    0
175637,19980603,   62,    0
175637,19980604,   40,    0
175637,19980605,   36,    0
175637,19980606,   42,    0
175637,19980607,   75,    0
175637,19980608,   64,    0
175637,19980609,   71,    0
175637,19980610,   88,    0
175637,19980611,   99,    0
175637,19980612,   55,    0
175637,19980613,   74,    0
175637,19980614,   69,    0
175637,19980615,   64,    0
175637,19980616,   51,    0
175637,19980617,   30,    0
175637,19980618,   31,    0
175637,19980619,   39,    0
175637,19980620,   50,    0
175637,19980621,   64,    0
175637,19980622,   51,    0
175637,19980623,   54,    0
175637,19980624,   45,    0
175637,19980625,   61,    0
175637,19980626,   66,    0
175637,19980627,   75,    0
175637,19980628,   68,    0
175637,19980629,   51,    0
175637,19980630,   52,    0
175637,19980701,   66,    0
175637,19980702,  128,    0
175637,19980703,   66,    0
175637,19980704,   41,    0
175637,19980705,   50,    0
175637,19980706,   42,    0
175637,19980707,   44,    0
175637,19980708,   54,    0
175637,19980709,   71,    0
175637,19980710,   62,    0
175637,19980711,   81,    0
175637,19980712,   95,    0
175637,19980713,   62,    0
175637,19980714,   62,    0
175637,19980715,   51,    0
175637,19980716,   68,    0
175637,19980717,   66,    0
175637,19980718,   44,    0
175637,19980719,   36,    0
175637,19980720,   46,    0
175637,19980721,   64,    0
175637,19980722,   54,    0
175637,19980723,   54,    0
175637,19980724,   28,    0
175637,19980725,   36,    0
175637,19980726,   26,    0
175637,19980727,   58,    0
175637,19980728,   68,    0
175637,19980729,   74,    0
175637,19980730,   80,    0
175637,19980731,   51,    0
175637,19980801,   34,    0
175637,19980802,   34,    0
175637,19980803,   59,    0
175637,19980804,   45,    0
175637,19980805,   26,    0
175637,19980806,   20,    0
175637,19980807,   24,    0
175637,19980808,   21,    0
175637,19980809,   24,    0
175637,19980810,   25,    0
175637,19980811,   36,    0
175637,19980812,   44,    0
175637,19980813,   39,    0
175637,19980814,   31,    0
175637,19980815,   42,    0
175637,19980816,   31,    0
175637,19980817,   48,    0
175637,19980818,   26,    0
175637,19980819,   26,    0
175637,19980820,   56,    0
175637,19980821,   92,    0
175637,19980822,   59,    0
175637,19980823,   70,    0
175637,19980824,   55,    0
175637,19980825,   32,    0
175637,19980826,   46,    0
175637,19980827,   76,    0
175637,19980828,   31,    0
