EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 29-03-2018
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TN   : minimum temperature in 0.1 &#176;C
23-27 Q_TN : Quality code for TN (0='valid'; 1='suspect'; 9='missing')

This is the series of FRANCE, PLOUMANAC'H (SOUID: 171624)
See file sources.txt for more info.



 SOUID,    DATE,   TN, Q_TN
171624,19470801,-9999,    9
171624,19470802,-9999,    9
171624,19470803,-9999,    9
171624,19470804,  120,    1
171624,19470805,  120,    1
171624,19470806,  150,    1
171624,19470807,  150,    1
171624,19470808,  138,    1
171624,19470809,  130,    1
171624,19470810,  142,    1
171624,19470811,  140,    1
171624,19470812,  164,    1
171624,19470813,  150,    1
171624,19470814,  150,    1
171624,19470815,  160,    1
171624,19470816,  154,    1
171624,19470817,  160,    1
171624,19470818,  152,    1
171624,19470819,  158,    1
171624,19470820,  170,    1
171624,19470821,  168,    1
171624,19470822,  168,    1
171624,19470823,  140,    1
171624,19470824,  156,    1
171624,19470825,  160,    1
171624,19470826,  162,    1
171624,19470827,  160,    1
171624,19470828,  170,    1
171624,19470829,  160,    1
171624,19470830,  160,    1
171624,19470831,  160,    1
171624,19470901,  168,    1
171624,19470902,  170,    1
171624,19470903,  158,    1
171624,19470904,  148,    1
171624,19470905,  138,    1
171624,19470906,  140,    1
171624,19470907,  158,    1
171624,19470908,  150,    1
171624,19470909,  106,    1
171624,19470910,  130,    1
171624,19470911,  136,    1
171624,19470912,  130,    1
171624,19470913,  140,    1
171624,19470914,  146,    1
171624,19470915,  138,    1
171624,19470916,  162,    1
171624,19470917,  124,    1
171624,19470918,  142,    1
171624,19470919,  168,    1
171624,19470920,  168,    1
171624,19470921,  138,    1
171624,19470922,  128,    1
171624,19470923,  112,    1
171624,19470924,  112,    1
171624,19470925,  120,    1
171624,19470926,  126,    1
171624,19470927,  146,    1
171624,19470928,  152,    1
171624,19470929,  128,    1
171624,19470930,  120,    1
171624,19471001,   88,    1
171624,19471002,  118,    1
171624,19471003,  126,    1
